atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-4.599238171940995, 0.18037120381090166, 3.1365772061410286], [-6.416322788336118, -1.5063635690270596, 1.7148271130671944], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-0.9239471537085489, 3.1321524184854783, 4.842024903601398], [1.879028049473267, 3.2965007357594636, 5.375469994639894]]",[-64248.91251777726],"[[-0.44745370074233987, -0.5482150320786552, -0.639234705276007], [0.8130336614953622, 0.6556805186044311, 0.5621596748727332], [-0.10610809757439574, 0.02302290967180502, 0.22913396043371695], [-0.10718091667098417, 0.10468329426095702, 0.036234124315917535], [-0.07812542946793426, -0.006074244852050408, -0.4664982837349248], [-0.14678225210318338, -0.015408974269312673, -0.033266622259679565], [0.6097729321274006, -0.27168327295398204, -0.09729177997337544], [-0.07051845661664156, 0.11849197704490326, 0.14240042141356107], [-0.3742520908092583, 0.09614784412413487, 0.6014440959545383], [1.2900974881205105, -0.0821519335047537, -0.05526918393714218], [-1.3874389932564417, -0.08503259907494418, -0.2776099775408773]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-3.109603802307684, 1.0603736126126346, 5.233024268956001], [-5.119013987949274, 3.088215488485001, 5.368567828353989], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [6.8417048943753604, 0.9564999680987096, 3.252384889685902], [4.332967295756938, -0.3865873152953993, 3.5180844091798376]]",[-64248.709499347664],"[[-0.6591078010080941, 0.8599486067464026, -0.2925336455365058], [0.8924278282287965, -0.9506165528373619, -0.1397589714133907], [-0.011349570378301739, 0.06222114218591639, 0.12152814302002513], [0.05053924625637455, -0.037253675267840486, 0.0900051153305211], [-0.08659397946361364, -0.04817577379885565, -0.24503701358553698], [-0.10338848599502705, 0.01761991851879339, 0.08081058824594581], [0.44308076607456054, -0.09998964000800671, -0.20948902452196086], [0.022322155118828034, -0.1460828088135416, 0.01591538416938038], [-0.38897660104420584, 0.4492120277417525, 0.5822112052625953], [-1.3403785234862362, -0.5682639913639385, 0.06768057422664385], [1.178264723357029, 0.4537075012537618, -0.07870253960171233]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.7772419833026256, -5.256170514880738, 3.045218831958128], [-1.0420326366753354, -3.009178139082241, 3.3743355448074097], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [4.353187337904112, 3.369024313804405, -5.369490104510403], [1.9360977048013113, 1.9321425074332996, -4.858322417481304]]",[-64249.152760615645],"[[0.5227189306325317, 0.7363412114534276, 0.14000065524380653], [-0.24628662183297004, -0.4130562295557263, -0.7187682258776172], [0.1194867888285681, 0.029997539920755892, 0.08978770272733], [-0.23126766870164778, 0.051762300135716796, -0.06356634410159262], [-0.1474752162092863, -0.1312458898864049, 0.09364621079096463], [0.02227661057231754, 0.008086648405949092, 0.08873786930567686], [0.12905823984440895, 0.14283941180936105, 0.07263360150951277], [-0.22833321562366685, -0.10672835084300761, 0.42055639872281186], [0.023983674888636182, -0.2631020571556556, -0.06247460167530354], [-1.0808604832693727, -0.5760292414131077, 0.3384662745721347], [1.1270241517624606, 0.5171200933015367, -0.40630394328854885]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.770823106696537, 4.048002225018907, 2.256480302121823], [-2.4501259146581003, 6.842955514555777, 2.760100639798615], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [3.1376836722478436, 1.6461250139970731, 4.48457521516089], [1.751359889678882, 3.789601074726339, 5.769822573127532]]",[-64248.68403931811],"[[-0.16809372658088562, 0.5241227537326066, 0.017394679473264143], [0.17039471091271916, -1.0535208998401837, -0.11673997496275475], [0.0430590802829128, 0.05404019594843185, 0.010432791618606257], [-0.05714099949266705, 0.16166498811391591, 0.08787917179841855], [-0.09722328574739376, 0.014132965920063576, -0.23749966624624064], [0.05037328659801624, -0.003580345401453483, 0.07197359896411121], [0.26422352155087664, 0.22085315249438828, -0.0244349654487416], [0.028716960147565525, -0.2173602040797805, 0.12825790641109147], [-0.1377003908212551, 0.44109407356645075, 0.28503517329844236], [-0.7840974221226813, 1.0335233626464784, 0.5296814818321709], [0.6870058283518183, -1.185004616900136, -0.7531901739798219]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[4.979636794280976, 5.149735864343216, -2.186607187198044], [4.039222251731493, 2.6453232392842816, -3.1924808948785177], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-2.8991163006331333, -0.7154997632426062, -4.4651859904609], [-3.8146156672466307, 1.7268959430804074, -3.2969359540127128]]",[-64248.87929001168],"[[-0.38465267162970024, -1.0310957257030886, -0.44031214924191825], [0.14932342902477694, 0.8134712634946896, 0.7700036552630275], [0.25594986128227726, 0.6475301170893438, -0.4662220442589686], [-0.11169454218132045, -0.3939729771502749, -0.31999890455751107], [-0.2226090626554967, -0.1107487356509293, -0.13541159352512555], [-0.004777892380710369, 0.22453086048403526, -0.29981084851450984], [-0.03565648967680536, -0.40232191936094425, 0.5190587061540212], [-0.1335736137058589, 0.16394807755788032, 0.049028388072680305], [0.30407661954344095, 0.15401919158348196, 0.20427934958002694], [-0.40716927424562066, 1.1166163204271065, 0.5081411790469473], [0.5791814156268291, -1.1811109361258623, -0.38989829061364706]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.9440493826912477, 5.35582971496061, -2.359668140275776], [2.2763853406526926, 2.977671074410979, -3.909557915589162], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-1.941872961047468, -4.6328148963204105, 4.469287603141288], [-1.884823631174769, -3.9683426961391737, 1.6901751381008063]]",[-64249.37705321413],"[[0.07507872196403895, -1.2114427710639657, -0.4752318631905963], [-0.0404180108062201, 0.7432225157483738, 0.5888019747401269], [0.14343431398682507, 0.47268508126102077, -0.02597212089006875], [-0.12225201180316635, 0.09180360298345597, -0.21455595173767467], [-0.15522755931346957, -0.06372472414365236, 0.16492417170021087], [-0.1591851063254831, 0.09562483003069668, -0.14532330452093695], [-0.06153434873080279, -0.05202033619125438, 0.34176947546882025], [-0.2869141879467881, -0.4301328891036273, 0.18189567307083518], [0.11662499516598672, 0.0010692298345962973, -0.20511773536111202], [0.05085042704355784, 0.22080903233981447, -0.847178958744878], [0.429407940456563, 0.11596458124385253, 0.6343172106584184]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[2.787961363743452, -5.123280479593516, 1.9092651478049782], [3.5947979078040775, -3.7818847584914224, 4.3004816446478085], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-3.3645911233026347, 3.1932015173226675, 3.769236533674527], [-4.989946675643864, 1.5737096088340055, 2.065209153903508]]",[-64248.913053783326],"[[0.12535492365315623, 0.9329741474379215, 0.812342548584556], [-0.3252060083948661, -0.6078728858435996, -1.0410983509568097], [0.009338632354013023, -0.06996530917753875, 0.09246725649735954], [-0.25673980745309605, 0.2241040571239392, -0.24458532193311724], [-0.24067431191398161, 0.2257822685046735, -0.41860354195096033], [-0.04913020895621358, 0.0014691224715069214, -0.15316645903884665], [0.7058247712065596, 0.1024797547926635, 0.09437969550523091], [0.24750625100101317, -0.40312790922433533, 0.5377665772909543], [-0.3298074628376173, -0.312727923652588, 0.684001749761841], [-0.35236818560811156, -0.45851536397210646, -0.9637898642577725], [0.4587372502972648, 0.357498259152283, 0.5977123947687345]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-5.1724944609209045, -0.09652627002851039, 4.149733756353255], [-5.1510579879896445, 0.5850964832931953, 1.3742743486193931], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [1.0444786501516676, -3.660600806987176, 3.7527737031711226], [3.0968719435447607, -2.095960115752884, 4.980709084518583]]",[-64248.738566702574],"[[-0.23210075800730032, 0.1930929363560925, -1.0896156085814153], [0.1485629991345239, -0.1832587698743805, 1.264450719946064], [-0.18867526446864047, 0.07543111755762187, -0.11950432376179615], [-0.30063097945308476, -0.038481274860078206, -0.07131159095713813], [-0.26049187178716454, -0.03478266893241401, 0.0751918505655102], [0.39993829972794515, -0.06806911955060599, -0.09211414099449453], [0.26224685635062456, 0.1423091472010104, 0.15942025955026856], [0.5234959184362727, -0.1485838765037045, 0.24917752039938448], [-0.08959471561763838, 0.04241690063445213, -0.03775820311935644], [0.5497196424782227, 0.663669454751964, 0.2994973794442513], [-0.8276925571414564, -0.6445229531738719, -0.6385338221678011]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.074004550610818, -3.7330944465185594, 5.847964718242423], [-2.574578779559184, -1.5089659155741273, 4.124328520157771], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [3.764541015745461, 4.574066571757392, -1.4182773474472987], [5.904302200135195, 3.1986299902990374, -2.7212893613447897]]",[-64248.82793066755],"[[0.149431466839182, 0.8067601663228661, -0.6181953565069347], [-0.38016105477455925, -0.580221170318533, 0.3579456827711018], [0.8001447142413772, -0.015686519866394896, -0.38089011718894983], [0.028606808885196636, 0.27720410297205345, -0.09371131115890217], [-0.16132945896637052, -0.11566592173596846, -0.19029161507320666], [-0.38498470407501834, -0.08238960641202646, -0.0540166446304892], [-0.05002115839930952, -0.18151967473721803, 0.31607308497600106], [0.10048334350924552, 0.26179490758774693, 0.14118212921989892], [0.2322859803811637, -0.16684262709279682, 0.3121888144444859], [0.6790359183781693, -0.8054113648607792, -0.44249835946535], [-1.0195890042707159, 0.5902762461056634, 0.6425267475788202]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-3.2206150193640526, 3.198560025719204, 3.8940912382880013], [-3.789836967868912, 5.641766648474312, 5.26338733339012], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-4.686199841729008, 1.1881077856304434, -3.057140183672231], [-6.679144815595653, 0.5666494318949966, -5.009114535426911]]",[-64248.42701369021],"[[-0.4308649339993294, 0.771549917556773, 0.43852245476664314], [0.418530985379744, -0.9547478036747254, -0.5931034327006129], [-0.1271360306391378, 0.07641867882637425, -0.016497842200682546], [-0.043830679051456566, 0.11353447604006707, 0.006371227999749052], [-0.24253697433720567, -0.04600443484430819, -0.4046206925428399], [0.0759911555569961, -0.04154874146234349, -0.06747416595105041], [0.3302858939776575, -0.0983406363752886, -0.059255218787889856], [-0.07002583297932587, 0.047409661767483235, 0.13975290360658452], [-0.016612343771998918, 0.05596806158377657, 0.5558954356767211], [-0.9160254260538662, -0.15544646315731642, -1.0968290995879544], [1.0202585199030592, 0.2145018042752432, 1.0926495119845077]]"
