atoms,coordinates,total_energy,forces,charge,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.03720331258332549, 0.004130610912759244, 2.718434498894758], [0.13839298111786352, -0.2836982475467271, -2.4997057545012575], [1.9639005385404913, 3.424510575784253, 0.012688772785282399], [2.1021885727799745, -3.47522100933895, 0.20820021555944748], [-4.03880909770108, -0.04889932383895726, -0.03776342338530218], [2.4790663724724618, 0.9368949444518727, 1.3911647903979687], [-0.6207204905501771, 2.689008285914333, -1.080923301088031], [-0.5286361036971291, -2.6484563943681083, 1.213017134338777], [2.611486950074338, -0.9087050806794512, -1.1621170465931119], [-2.1044059962853154, 1.6902415197759744, 1.3442149508530947], [-2.1082435476254613, -1.8734975543504773, -1.1978321804178125]]",[-64251.81630870205],"[[0.06958298592665754, 0.28074374264581387, 0.3086174987623135], [0.7789814382316023, -0.8673893833977157, 0.028079321069791177], [-0.0150437951437635, -0.33205476250584354, 0.044183002654111285], [0.06694991772741435, -0.0013489341310829568, 0.005381162475136836], [0.13869988201525354, -0.12828541723008563, -0.12124408738614914], [-0.2870589925566713, 0.5310986746760562, 0.10729322251899018], [0.05902860163030632, 0.7061034789429116, 0.31477565418340064], [0.09249271043269057, 0.099480818411844, -0.451815939615071], [-0.4289198933853977, -0.21142717457562113, -0.5456207875585533], [-0.06022786765008466, -0.30054078510445725, 0.09871036121373325], [-0.4047367007814395, 0.23238959589569302, 0.21078758660057598]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.024164248186501883, 0.15982020760320162, 2.4743183144603074], [0.10024601156784818, 0.21530498134975085, -2.544550218248576], [1.9950615828361786, 3.6967970364292335, -0.006335926578633744], [2.0335511871695178, -3.4205255931453786, 0.005035931788208152], [-4.0738546715864885, 0.0028610670598677008, -0.06072848606090281], [2.567953281964863, 0.9912676065447164, 1.3331452734678628], [-0.6236889797294164, 2.8356301041583563, -1.1728628265562322], [-0.47651377209831186, -2.6390351724673695, 1.0625523842542663], [2.655588056862051, -0.7776654767779706, -1.2007686071109755], [-1.961833035886516, 1.9039231249154027, 1.3368222489178074], [-2.0849393164635086, -1.772589914561094, -1.2418220045828778]]",[-64251.803505308075],"[[0.05601285022554087, 0.8769585204194354, -0.3750539669053231], [0.23801830946189473, 0.3188857191190341, -0.33516837015088163], [0.11647283719700788, 0.5715082111215842, -0.1583034231432895], [-0.5313115621351884, -0.003827798276323438, 0.3159473579620932], [-0.45735260763734836, -0.457446812909119, -0.37468845867838785], [-0.3679897542306345, -0.3508726254966617, 0.6139972569505201], [-0.19897438950239932, 0.1282005707789822, 0.08867287178192247], [0.5307788292664419, -0.31846760609241465, -0.7619956929416108], [0.12435558672543252, -0.3360426999739796, -0.0727824684646306], [0.8790709399414531, -0.03927639923551884, 0.531340358506472], [-0.3809201476904313, -0.38800240951926374, 0.5296634841001187]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.08799402165785372, 0.011049937964649346, 2.58921943450207], [-0.1164978472179597, 0.10730277031448726, -2.714841846067835], [1.8742266908575005, 3.4334844661578945, -0.06960169705492134], [1.9668211935652276, -3.6366927626731673, -0.07214051054005959], [-3.926828869395152, -0.05006763455315878, -0.09597698216324992], [2.637121398496012, 0.8283530449109486, 1.1716286876826951], [-0.594774862306052, 2.7336831146779117, -1.2335030947716963], [-0.6358778622467591, -2.7428868326152367, 1.2904925293886198], [2.6014021510234513, -0.7672710243595596, -1.3682591427501958], [-2.0628875400448576, 1.7714964862699327, 1.2091431130177972], [-2.017252298623915, -1.9347405764282706, -1.2568809574260909]]",[-64251.80121027964],"[[0.2935673838434951, 0.19826846702921874, 0.4224952172636626], [-0.25459170099952344, 0.4457843853834485, -0.6349692427796254], [-0.8760812595371176, -0.16706513048305413, -0.3789461050168497], [0.26608366429161334, -0.9376525293296732, 0.10598015941055007], [0.37284759922199284, 0.02427443082104475, -0.055411057487805435], [0.1854567557567836, 0.010893302159731584, 0.08859630428756306], [0.746048159680576, 0.39622588182648316, 0.36085946416826836], [-0.5563885735349525, -0.3354265090506024, 0.24074362889342854], [0.6002058519893438, 0.5538452368855127, -0.14643299325718667], [-0.3304052446522097, 0.06409244352052548, -0.2078633665188191], [-0.42747904637938666, -0.24399299086023213, 0.20263980761215916]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.13498080292903678, 0.041056917103175855, 2.460041539375036], [-0.017646568190502285, 0.03687165387170333, -2.6542535221426142], [1.873150848877768, 3.423283409469759, -0.002418975704088714], [2.0073291206268427, -3.506054591287581, 0.09763551006915416], [-3.999086261971957, -0.08458157109328067, -0.06940553859068815], [2.4606509682781588, 0.9752842869786036, 1.2926603073746596], [-0.5645512242064341, 2.626494868731015, -1.2146901352612292], [-0.5476528829049478, -2.545033355184389, 1.0666339237587386], [2.591535820201369, -0.7109872851706929, -1.4009410980181074], [-1.882966686069355, 1.7121483350873106, 1.26587423451771], [-1.994806557140897, -1.8244731415138005, -1.2014848127216524]]",[-64251.32145342155],"[[-1.5142278733553376, 1.2021281733955562, -1.2708188317670635], [-0.048655140820962575, 0.15956295585439706, -0.09960346010025714], [-0.48211501868083934, -0.8998382658460786, 0.017097629476846447], [-0.3691378038472013, -0.6861712478055101, 0.5544864703674883], [-0.08757387884072092, -0.4302013319075174, -0.32970677838230794], [-0.4981406106768894, 0.9656971096343945, 0.25244775973536865], [0.6681066670342156, -0.04781995863618281, 0.5808505767194457], [-0.26770279168912475, 0.8176266827150946, -1.1824422540768125], [0.18869706743546946, 0.3703608782953802, -0.9407609947655535], [2.027839951569434, -1.3315395801649217, 0.973751866059147], [0.38519820859924947, -0.10267639287085716, 1.4462288421155522]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.0024685596052043913, 0.07003430636972588, 2.5825360389059715], [-0.0304711385913173, -0.06221610679259579, -2.5216880655725937], [1.9677194097260842, 3.6138110390945206, -0.1492832565629909], [2.0015300745839797, -3.5899365996613, -0.05296752266873701], [-3.9145821544452333, -0.00485826922694362, -0.00855879421853682], [2.639914653085721, 0.8025515379462637, 1.2141050535296423], [-0.6055032685621843, 2.7233924643181155, -1.392192753682741], [-0.2867364497368483, -2.5713503087415956, 1.21134792839798], [2.6343168427294237, -0.8093044125773002, -1.3691386173169846], [-1.9500078144881146, 1.669009035303708, 1.2683646513795868], [-1.941861953177402, -1.952425823595327, -1.326915110140838]]",[-64251.584750010785],"[[-0.9348124872118292, 0.4102386074698102, -0.12123154039580415], [-0.1936570367007014, -0.3666595161436074, 0.4108123237455442], [0.013895976926608792, 0.8471969564769303, -0.16997819197093866], [-0.9019239458804758, -0.446626370710944, 0.6285065143101227], [0.04597051683270345, 0.6114508349755855, 0.3553068038755103], [0.20827345769915231, -0.5987840311572167, 0.47272709310983985], [-0.08700000829871225, 0.39242203544619575, -0.6975447860206963], [1.2744132359683542, 0.23072089760190062, -0.2081702535613556], [0.052375868532423556, 0.2902963217540457, -0.544493615311167], [0.3069294657620878, -1.1608701724389936, 0.6641188838323544], [0.22588490699946284, -0.19662758808696995, -0.795304866982071]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.13829405273917048, -0.06706495448936808, 2.612334160888272], [0.05221581322637166, -0.09084436473635914, -2.3516382202757504], [1.87696895278277, 3.3891309642092167, 0.07561718342337999], [2.0267976956576907, -3.4618541750676806, 0.07456130473528687], [-3.967791184298852, 0.16637910834034994, 0.017258225658098467], [2.6888114215145484, 0.7522170034412581, 1.2463708036738017], [-0.48034688366937583, 2.7970737079422445, -1.235842716545235], [-0.5143216918426942, -2.500483085363194, 1.219200268159774], [2.722212573126074, -0.7689794406790788, -1.178771674080927], [-1.9748661785058552, 1.8328245845278175, 1.2358918281481464], [-2.0111384569016404, -1.8134028786577328, -1.2770870900533853]]",[-64251.564376763694],"[[-0.8861414775334058, -0.9310653593985523, -0.13106832940418664], [-0.22982512476661468, -0.7772901656396071, 0.6599171847295292], [-1.412512919330711, -0.33890145973315794, -0.6233288239091502], [-0.11693841281415362, -0.3427173903049661, 0.1360277330264112], [0.11531146925872242, 0.6128037502049984, 0.36704297068050334], [0.540860130320277, -0.5015309205967078, -0.8244339391981689], [1.0415467515953685, 0.9282643980703074, 0.42126021289023774], [0.37538574224018334, 1.275339862058587, 0.19482375253651096], [0.18101203584916162, 0.645743199407014, 0.2847183103701397], [-0.15100873665414902, -0.47606238139166995, -0.08784482184124455], [0.5390140772326327, -0.09046847979772898, -0.3885347824333691]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.07495679548186703, -0.1385333931931035, 2.44368292179482], [0.06326160427142373, 0.06425185541999724, -2.569695846376294], [1.8224103314730886, 3.4691449873059224, 0.04173449607720168], [2.1084758417155447, -3.3619515396090973, -0.008167635787244124], [-3.8508202154513067, -0.08869154940247356, -0.012933929252037233], [2.538608761692332, 0.6764562803964443, 1.1792178644524365], [-0.570298159866915, 2.431024239617143, -1.142179672760651], [-0.5104994972557346, -2.6590879468557453, 1.319302214838338], [2.5723509785594345, -0.9122749440619248, -1.1573518896602701], [-1.9351066555470575, 1.890393021488322, 1.1801548584504031], [-2.159688750607237, -1.7983532033124376, -1.0898197710418351]]",[-64250.87115894137],"[[0.49586616014431, -1.011771817909053, -0.9077896638667597], [0.13238715178688343, 1.2836769257661018, 0.16119781841193126], [-0.7053527164058752, 0.3053211884258994, -0.5323050369444722], [0.5148184404825127, 1.4233125870038887, -0.7779617381556138], [1.869851745847517, -1.9337982020500528, -1.2568628761128382], [-0.5896890058198445, -1.2687259526398453, -0.47968234237247503], [0.04231204584751576, -1.2417787197693952, 1.530628949464089], [0.1096326705753239, 0.9583200963766378, 0.6199524493761495], [-0.40070207205415076, -0.8791799547755981, 1.6941892530293807], [0.7433155897341297, 0.761721613193501, -1.554599871674014], [-2.1884712527984527, 1.6107903338038645, 1.4955040613700152]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.01013868008523158, -0.10432985211545905, 2.5507007754142976], [0.17158837929582532, 0.10533419236550486, -2.553615143464459], [2.0630766203709228, 3.5891474377711807, 0.10344090912867472], [1.8728870346877227, -3.44057180043036, -0.0009805436720107088], [-3.979781542343335, 0.03819805219441369, 0.06180862829838062], [2.416377488822576, 0.9569576170462062, 1.340241816460204], [-0.4954048020293725, 2.6001846922638525, -1.220920404379884], [-0.6373154759855286, -2.7365591309628536, 1.2411972224399026], [2.667538375193682, -0.9493338949368063, -1.1545008239504453], [-2.0291737088499135, 1.7231520623891314, 1.3408078900463696], [-2.0570758750114826, -1.6841716919153058, -1.3154661181663274]]",[-64251.84958863243],"[[0.3549661839408987, 0.12318408863510623, -0.3440483483012753], [0.12676440318330476, 0.6079536185273767, -0.03206539191600295], [0.4790466624763898, 0.1918201367453579, 0.18717667045378755], [-0.29689681000688534, 0.61060494156913, -0.048702865664155964], [0.3296437863201251, 0.12707041605028446, 0.20379089113212906], [-0.8813052298205101, 0.3395602281483616, 0.3715651322580416], [0.14220337195863478, -0.583857226414002, -0.5563458931989429], [0.4637801119741203, -0.30005001266243836, 0.3615089251848964], [0.01946825474730382, -0.7749412044963315, -0.1535870403258618], [-0.3104764587949439, -0.5663896561259262, 0.16164380221218586], [-0.4266548530955771, 0.20986574276486006, -0.15424148928537293]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.10710239489090133, 0.09291078797880145, 2.5387484021961075], [0.18208682344491678, 0.013115666350580035, -2.620921084753646], [1.747886068139265, 3.5148859573304736, -0.15205971494853637], [1.9662256480786715, -3.5707563215913334, -0.01937206770653536], [-4.026536757987391, 0.08444655401641288, 0.035546428846263765], [2.613875443841947, 0.8937726393259561, 1.08433874945803], [-0.5860480871342884, 2.6343001669861703, -0.9915197028477529], [-0.6159662349984629, -2.6917648330609403, 1.2133242666941908], [2.5026061640546, -0.9303960943892213, -1.2230396091136555], [-1.7959902897507636, 1.9317124646719321, 1.250134667722229], [-2.0725126860091927, -1.8094132195957564, -1.2927547562908475]]",[-64250.75656451039],"[[-1.2938471870383665, 1.0748440985547658, -0.2596075660783005], [1.2858973316804327, -0.144513406578586, -0.15817522786898594], [-2.955021400391112, -0.6793254247537526, -1.1583782578811317], [0.28448367136627, -0.13810431135059903, -0.2135216992097696], [-0.6517004487163065, -0.08778872033933312, -0.03040155300986465], [0.42237874622623883, -0.26976841710780647, -0.6312889636853996], [1.3123647964364615, 0.31795734467768777, 4.226251094669883], [-0.026858843437236983, -0.29559860788291126, 0.15241867898312175], [-0.7646547292971009, 0.18876515028471852, 0.11033530203464348], [2.602339385758101, 0.49888664238150066, -1.9166803019847063], [-0.2136278344067863, -0.46585555901229336, -0.1136903363996395]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.016793479186185904, 0.025383856313947923, 2.5592422314478007], [-0.03913362411108301, -0.06560348009673368, -2.6245238034524263], [2.164596411956815, 3.3338490832332113, 0.07491454752259637], [2.0832690019104136, -3.5983838896575358, -0.1959749076140121], [-3.988383793272333, -0.05688810308995734, 0.1526734147080884], [2.568464599531548, 0.9132790629524652, 1.3114916185221226], [-0.5602738631460876, 2.627850871292778, -1.3548590578006154], [-0.4726974660835977, -2.7528780753304165, 1.230702366031121], [2.7018672790304348, -1.018950665606973, -1.2420302363400697], [-1.8679866147986508, 1.856996672644202, 1.2323580980400979], [-2.0369511992503644, -1.7145810662084142, -1.24214892779894]]",[-64251.67424568952],"[[0.008859918392469144, 0.5792523781132065, -0.01916933298675269], [-0.6626168445373657, -0.23874618916817902, -0.1836237124583084], [0.814695623495158, -1.1273727935433586, 0.9337321090677789], [0.46428600251106306, 0.20952250030357802, -0.40475279589610336], [-0.2328925039513243, -0.40982687078254654, -0.17818412934493], [-0.5434985978391359, 1.5583716820912483, -0.08365232729281184], [-0.5180570038100849, -0.020917236728202452, -0.3244210501669304], [-0.08856370268150271, -0.3183449129819099, 0.34997746972647475], [0.3619930641771018, -0.884264056969899, -0.03096407983847125], [0.45895214321796857, -0.04607373125491848, 0.29042256298886926], [-0.05455040594106716, 0.6897275996590333, -0.3349849989723151]]",-3,bi11-3
