atoms,coordinates,total_energy,forces,charge,source
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8774257563992192, 1.8598528752052517, 0.11239460104137053], [0.18352836360611685, -1.2393519406406024, 0.2996376566998056], [-1.473006145080512, 0.8526834610262138, 4.1531603528834875], [-1.7713538581022203, 2.6100369057488684, 1.7278954898381247], [1.4101613658842278, 3.518565790644751, 2.611431859131054], [1.0647029601424203, 2.2290841568347504, 5.146537419851983], [4.512395179856125, 2.325158609864443, 3.2783370157210294], [0.13634295471162092, -1.7477741051341253, 3.192043373812823], [3.8085513493764966, 0.5239111899079678, 0.9912594911250852], [3.4391471701690395, 0.926905444813749, 5.365856025703796], [3.1602900034838477, -1.3095366151661882, 3.3146083775340007]]",[-64250.37747404845],"[[0.04248952405438751, -0.603637248160333, 0.6173597475187947], [0.09115110806342477, 0.36086265233794623, 0.12770105658139508], [-0.03048586981342483, 0.12837566300080475, -0.4704364960405051], [0.18794352810548784, -0.3667524872851802, 0.5256972981767201], [0.07209840038037062, 0.4497938172858641, -0.9353868719747538], [-2.3026853746229037, 0.8975083308766868, 0.41507459807224806], [0.9984128727380465, 1.7210948340056529, -1.5206016416064105], [0.06822960789842042, 0.31483103577602994, -0.3503420523557616], [-0.21444014918744136, -0.41882162304134196, 0.05296496001353926], [1.322340682202562, -2.4600524014785607, 1.8044582719879805], [-0.24033744579205524, -0.023158910819610082, -0.2591153538177174]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8377721790041849, 1.7507068443207834, 0.14433400716291142], [0.26773098631032377, -1.206499916497709, 0.23684892712978775], [-1.5488370312754978, 0.82357205964172, 4.163735648126445], [-1.6115803326931417, 2.6538608247628135, 1.6924801632898756], [1.3430607699317998, 3.540548593282491, 2.4569392632574942], [0.9495112389925697, 2.3825704190164814, 5.098593914904642], [4.646278576389205, 2.627566705753877, 3.0938701352726046], [0.006531385181709301, -1.6794932869138195, 3.0840014256053156], [3.803110527938004, 0.3514374694313796, 0.9465227735019386], [3.416750603645133, 0.8399259444259359, 5.285346804926565], [2.8897686835590712, -1.3344374735868987, 3.4610913293154577]]",[-64250.7799818077],"[[0.45104630517042554, -0.3636745151496055, -0.01797248380527852], [-0.06281974675397399, -0.04639005939346871, -0.12064620272737361], [0.3238739191125422, 0.4376300757894014, -0.5886934741268975], [-0.8564688738093302, -0.31466406824467674, 0.610686188473823], [0.48145568462262833, 0.4249850749378616, -0.28609878784063836], [-0.7905421528601316, 0.07776737744427778, 0.23258284011584252], [-0.3612390106262044, -0.6508519842052721, 0.07461360914571741], [-0.5561191217750846, 0.027261180166160304, 0.009974713342412561], [-0.19538785288111984, -0.02206725581087669, 0.8485226179978069], [0.9520723122499305, 0.5610150191142106, 0.4153886327855139], [0.6140857029480339, -0.13574450014600048, -1.182391860427066]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9624657418566259, 1.7888905627435396, 0.1823824358282442], [0.024367378723239935, -1.1291966315222832, 0.261083973184879], [-1.535108221441914, 0.9905797328535253, 4.189067731999593], [-1.7556943986535747, 2.360487156177334, 1.7408910478081787], [1.6130870312803625, 3.538411899305877, 2.595687559978417], [1.107361176763605, 2.3917351200963144, 5.32521287662342], [4.519478586754929, 2.659683888239883, 3.1581223756109407], [-0.03019255093978629, -1.7819906627816824, 3.1563447916942238], [3.7533762288745236, 0.4210932460237765, 1.0084497539453534], [3.39360537696823, 0.9869006919433422, 5.30048162822892], [2.953592262203165, -1.345707787848495, 3.3850156294653204]]",[-64250.59073338411],"[[0.0277450569056986, -0.3597442732682198, 0.4466351124665123], [0.12047609844843414, -0.02279630794084896, 0.29789480996022805], [0.29568036900852, -0.2528035491869957, 0.19672055922854265], [-0.1513261138033674, 0.2528716834583363, -0.22877961080065407], [-0.35986136137074254, 0.33999808725814695, -0.009484804791532186], [-2.64060256410117, 1.4101223062932575, -0.4309505517818065], [0.26704695433314096, -0.1776083047634414, -0.4168261887776639], [0.13178957566065738, 0.46411502405656674, -0.36898076077952263], [-0.16028152816210575, -0.07830808073721875, 0.3990808877729763], [2.505400001378309, -1.7228544979794465, 0.5351805603055049], [-0.03637383299652536, 0.15243168877229094, -0.4209598564533316]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8824348100057141, 1.7224738792455458, 0.2700973863586753], [0.26184446441354936, -1.2037101340492666, 0.26335946290189877], [-1.3503283054355908, 1.0991411206430106, 4.128560913666364], [-1.8976317439158903, 2.6272461793261823, 1.7632048367822137], [1.599015729244562, 3.7413557058646765, 2.5091504446857593], [0.7053036531875176, 2.222916338278158, 5.0655980530853935], [4.460332737412685, 2.61791370378628, 3.068752999945088], [0.221845366281653, -1.6111107099332056, 3.178367657184382], [3.8748564268216477, 0.603804017884382, 1.014169190952415], [3.631298299896039, 0.8614773444369227, 5.359896035735743], [3.0942366689183234, -1.2495414048526072, 3.5656922126101533]]",[-64249.7050132489],"[[0.13959668329237104, 0.3871921516222718, 0.31711926742915214], [-0.09245681781276925, -0.10582707584392285, 0.4039280369692864], [-4.164974987682984, -2.9530750742248912, -1.8019447601516558], [0.28103916256192857, 0.062149305523982144, -0.2977363270739852], [-0.39100972770101045, -0.529407402084061, 0.1680562398761254], [4.6760941228973865, 3.08078440976303, 1.7672039950816687], [0.36574415149143036, 0.4417768560984213, 0.5445260112288611], [-0.6216997720479643, -0.10131740983463805, -0.37802878632519266], [-0.47097030877317453, -0.9431906885926065, 0.15312398439120337], [-0.11612656083232271, 1.1372916007878078, 0.7570668854638751], [0.40986595157214567, -0.48155909444879136, -1.6545767590033091]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.079455595496672, 1.4429706870677106, 0.28754851885014676], [0.19254672185141344, -1.2611485631253305, 0.2533184258413043], [-1.3751809768983776, 0.8020797100043571, 4.085182690367475], [-1.7886699882308632, 2.4144016158851915, 1.8291907366744946], [1.5207090408833026, 3.5635646044790805, 2.525221691611121], [1.093380445189269, 2.3696296697325105, 5.167266082309417], [4.412595694556532, 2.581549432384502, 3.063409766078323], [-0.04101806945980663, -1.691648566233174, 3.0813659511523706], [3.567509843389424, 0.3563456051994083, 1.1830256827183396], [3.6064752887701332, 0.7953356165038821, 5.228319443358746], [3.2472303745990194, -1.473740943719715, 3.4031869203363274]]",[-64250.57825043536],"[[-0.9759671297643203, 1.7163136079307455, -0.1753169877848245], [-0.3612246124405626, -0.9041551504340382, -0.14171311373753168], [-0.16055519653348302, 0.20786876583843472, 0.6523617368139975], [-0.0016881579559082163, 0.2520773149876419, -0.5103043007512605], [-0.41455081264743615, 0.093882958100589, -0.39589780888221654], [-0.4806181730171001, -0.042538102504301095, 0.024761459734796765], [0.666344946176759, 0.3942733850092726, -0.12401897771396402], [0.8435958674037344, -0.5828997470688225, 0.10742743417800832], [1.4759919487208046, -0.37382857846302325, -0.4641292165538422], [0.44860745821107184, -0.1329824139189885, 0.9116298656657926], [-1.0393227461346268, -0.6194073752054243, 0.11381853167394305]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8966048445080851, 1.7691226116231482, 0.3580609475599411], [0.19753476982360363, -1.2718262012698067, 0.37932408520004135], [-1.3891047574725253, 0.9161219795081272, 4.207685386758702], [-1.600823232506293, 2.6354176996865637, 1.7709982215740059], [1.5198310171527887, 3.492742732128651, 2.351763017264303], [0.8796786833067574, 2.3608207654836693, 5.117666928150702], [4.551712739248621, 2.627689152829557, 3.2183157544038035], [0.048474378993232134, -1.8205869313442062, 3.0759358903321137], [3.8842116267122333, 0.5657122225124923, 1.0909411671372697], [3.5885971086731225, 0.9834797841160401, 5.42588605733282], [3.099204508193615, -1.4224499789268281, 3.313732156266699]]",[-64250.57896701818],"[[-0.030959395285928504, -1.767177255594048, -1.8226287822679252], [0.06818322517181721, 0.35513582542101396, -1.0656050913609754], [-0.7721135036804662, -0.5491010347165414, -0.6695207745526062], [-0.6922395688326107, -0.16803963054054574, 0.5638272933026025], [0.4789246892751671, 1.6631349377046087, 1.8970190652699201], [0.7015659935820832, 0.6519287628029121, 0.060179736572367803], [0.3124962671300298, 0.18171734125724326, -0.2918291628818894], [0.14249323828885907, 0.16635478570999787, 1.041763238600911], [-0.09729075153154389, -0.5773929552817519, 0.3020836021180671], [-0.15102750571757492, -0.7603075056751104, -0.07266548320629103], [0.03906831459973996, 0.7835508052892088, 0.05468554319773372]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9035835875095972, 1.7344355151496114, 0.29697439404684595], [0.3131413677624906, -1.2318497367002037, 0.4011653885865588], [-1.4372643578787314, 0.9184302098428514, 4.134242784213649], [-1.6601033229781954, 2.354984893439618, 1.7145218955436845], [1.6338816540238221, 3.5678746499575142, 2.3960152846904608], [0.9759127545764974, 2.5636131103881725, 5.175900249878561], [4.564159690442716, 2.750836136872689, 2.981286135065387], [0.04429536307883522, -1.6589523132155266, 3.0902718764770682], [3.761498239978282, 0.45753663822426305, 1.1547562777241644], [3.597141647690155, 0.8916684994455105, 5.494155000721089], [3.127679849787412, -1.1963460048411563, 3.4504850716700193]]",[-64250.82226470072],"[[0.2069421397482021, -0.5361020441865798, -0.6731650581827275], [-0.02932771061365382, 0.028956304272814568, -1.2365172113591507], [0.19722218173188447, -0.06959429878680466, 0.4509703547411651], [-0.6816090798407243, 0.4595008683571957, -0.2318498182004005], [-0.12334509120383644, 0.7506545506441187, 0.8052483568304775], [0.06319409958066065, -0.27537244807005085, -0.3912887439699118], [0.06053717153092535, -0.5007311013843061, 0.8510201889857426], [0.2391246557621919, -0.24136084825863735, 1.2388173215154274], [0.2610710902266973, -0.031248089192464804, -0.49562205947559007], [0.16695791542211433, 0.9321760765766336, -0.34173563973256205], [-0.3494665398245574, -0.5208075714885834, 0.025242081455938186]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8812402719867817, 1.6671425250421605, 0.35019399131925405], [0.1611687524431937, -0.9643434977623151, 0.2163712709917805], [-1.3252179670056659, 0.8658627903835163, 4.113945873723806], [-1.7361061371944868, 2.5321227543295093, 1.5757757830339623], [1.5934336927405535, 3.8197186340330695, 2.5138693542468533], [0.8736233813793718, 2.195739976872304, 5.105959241005336], [4.434737566221671, 2.680501743638885, 3.1562983907396323], [0.05214174980735996, -1.6899326985584873, 3.160472585202833], [3.58931683617163, 0.33237350563557894, 0.9916541880309712], [3.6789558226248475, 0.9989949864557355, 5.269304428327935], [3.070220157450233, -1.207389955589683, 3.3277802041849545]]",[-64250.21148549306],"[[0.5523056594636722, 2.3424660188884348, -0.17869382511664952], [-0.38221819554813063, -2.1730384546741117, 0.4238301347610233], [-1.6433667430393406, -0.44606473862673085, -1.104090413139661], [-0.2541243256091725, -0.2424610239079452, 0.8468282600803172], [-0.26067951099933206, -0.6948055312023449, 0.3574724452623109], [1.3246747309392801, 1.6414816091620972, 0.2903843049527353], [0.6704895667579327, 0.5584459714189818, -1.2290882617889007], [0.30675679037856945, -0.09014112676274447, -0.6523905331852811], [0.4125320327541818, 0.6657186251013408, -0.4070862275677225], [-0.3333115698460975, -0.7021948857620801, 0.995893704471648], [-0.38047313544834516, -0.863703962094332, 0.6469737300584716]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8857024140907418, 1.7866278929576478, 0.43086874171457545], [0.3914543607667309, -1.090003913614125, 0.3384737886875776], [-1.296018931316021, 0.707960537307301, 4.191505718486605], [-1.5661653160800688, 2.337116965141222, 1.6944822247639308], [1.415410500545181, 3.725447273390358, 2.542665074701459], [1.1548239416711676, 2.487520185720822, 5.2042536904978105], [4.571660010129614, 2.689806800062131, 3.1087384934796325], [-0.05334657674259424, -1.861168109295812, 3.091162387604448], [3.7891120167873846, 0.2757517872590332, 0.9053455675285238], [3.7718687117686334, 0.7571083626452706, 5.279504531148354], [2.9102090851818843, -1.3008769638913642, 3.373881555374349]]",[-64250.53201729484],"[[1.272067874371489, -0.19151103855288348, -1.2412079345528813], [-0.07697141488874443, -0.6175782914080007, -0.29982318981648853], [0.029781675122521285, 0.6857084489813096, -0.06992792531696167], [-1.697729664034515, 0.21729006434686832, 1.1096028613568052], [0.5244354000493999, 0.16105568775081014, 0.2970639318045133], [-0.20591076685742543, -0.6855510973810813, -0.03217161967278446], [-0.04528331714306638, -0.4356183921447847, -0.23555920219845936], [0.1497660189669874, 0.15588493933220066, 0.029801837724628955], [-0.17706143081951106, 0.2769925524873022, 0.8208333643458886], [-0.15135953816289302, 0.8027420440869738, 0.23688409238796237], [0.3813457169203295, -0.3675446960280283, -0.6088205949913791]]",-3,bi11-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8926762593372731, 1.825941380093197, 0.07809649228860471], [0.156210417870466, -1.1477346204275427, 0.29486154692632566], [-1.5561746869617386, 0.6952683629432579, 4.161074720920866], [-1.6357936079649749, 2.50921157720733, 1.7590842546979162], [1.4463096383321934, 3.6044952383830013, 2.6024036602900447], [0.8664516995409064, 2.2744052280794493, 5.160064661529198], [4.545132580500475, 2.5112846806730977, 3.199502236139843], [0.07621313286672973, -1.7352679585238817, 3.167856188918526], [3.992200850416285, 0.34032168778253524, 0.9817096463413729], [3.7424393705947274, 0.8396070128702066, 5.584490667512831], [3.1607810994135326, -1.3540528187736454, 3.280479721485926]]",[-64250.85725110855],"[[0.14069968715671566, -0.21514046665263997, 0.8250006106473566], [0.12712173529767917, 0.05238317046942761, 0.14923385174124837], [0.21598456028589014, 0.4489300804136312, -0.41263492835942905], [-0.2705229334575281, -0.1858229324709094, 0.3382210940394916], [0.18892569005462453, -0.339454092951345, -0.5595911413984203], [0.2596123483328172, -0.30278659353202775, 0.21768627156247555], [0.04320584921669426, -0.13729477336288914, -0.1665835625954277], [0.2729638887226365, 0.08817598011100582, -0.3861832501855146], [-0.2478059903728204, 0.3981358525739588, 0.46142405458220687], [-0.5757371639329455, -0.14108586706446521, -0.7897687646028011], [-0.1592881047749135, 0.31960331440700274, 0.3246110033732189]]",-3,bi11-3
